token,token_name,market_cap,price,volume_24h,supply,price_chng_24h,price_chng_7d,serial
LBLOCK,Lucky Block,$0 ,$0.00 ,$60.6 K,0,-7.27%,-8.72%,458
BWJ,Baby WOJ,$0 ,$0.00 ,$201 ,0,-2.91%,1.69%,459
DFSM,DFS MAFIA,$0 ,$0.00 ,$1 K,0,-4.51%,-12.25%,460
ST,Sacred Tails,$0 ,$0.00 ,$387 ,0,-3.36%,-3.58%,461
WSO,Widi Soul,$0 ,$0.00 ,$668 ,0,-2.19%,-7.03%,462
OPV,OpenLive NFT,$0 ,$0.41 ,$150 K,0,-2.44%,-13.55%,463
RAHO,Radio Hero,$0 ,$0.00 ,$280 ,0,-3.13%,-1.62%,464
PYO,Pyrrho DeFi,$0 ,$0.00 ,$491 ,0,-4.44%,-6.55%,465
TBCC,TBCC,$0 ,$0.01 ,$64.7 K,0,-1.31%,-9.35%,466
WEFIN,eFin Decentralized,$0 ,$0.00 ,$1.3 K,0,-3.55%,-22.46%,467
EVRF,EverReflect,$0 ,1.15E-09,$2 K,0,-5.89%,-6.03%,468
POOR,Poor Quack,$0 ,2.83E-10,$530 ,0,-3.13%,-17.62%,469
TOURISTS,Tourist Shiba Inu,$0 ,2.00E-09,$803 ,0,0%,0%,470
NINKY,Ninky,$0 ,$0.00 ,$7.9 K,0,-4.90%,-3.05%,471
KKT,Kingdom Karnage,$0 ,$0.00 ,$64.5 K,0,-1.43%,-5.71%,472
PEN,Protocon,$0 ,$0.02 ,$632.3 K,0,0.98%,-0.22%,473
MBH,Marble Heroes,$0 ,$0.00 ,$5.3 K,0,-3.05%,-18.82%,474
VITY,Vitteey,$0 ,$0.00 ,$515 ,0,-14.67%,-10.87%,475
GODE,Gode Chain,$0 ,$0.02 ,$391.2 K,0,-0.96%,6.52%,476
MISA,Sangkara,$0 ,$0.00 ,$45 K,0,1.82%,-2.61%,477
BRN,BRN Metaverse,$0 ,$0.15 ,$294.2 K,0,-3.44%,-7.27%,478
MAIN,Main,$0 ,$0.00 ,$1.2 K,0,-6.79%,-10.24%,479
NOSNITCH,Nosnitches,$0 ,1.19E-09,$22.5 K,0,-0.23%,-0.12%,480
CTP,Ctomorrow Platform,$0 ,$0.02 ,$142.1 K,0,0.38%,-1.32%,481
EV,Evai,$0 ,$0.01 ,$3.1 K,0,-3.63%,-5.84%,482
HOTMOON,HotMoon,$0 ,4.00E-09,$211 ,0,26.89%,27.31%,483
KZEN,Kaizen,$0 ,$0.03 ,$173.1 K,0,0.45%,-0.64%,484
PSTN,Piston,$0 ,$2.00 ,$7.9 K,0,0.00%,0.00%,485
AMG,Amgen,$0 ,$1.06 ,$19.8 K,0,0%,-5.27%,486
CSR,Cashera,$0 ,$0.00 ,$3.1 K,0,9.43%,9.23%,487
QUINT,Quint,$0 ,$1.18 ,$2.7 M,0,-1.63%,-3.68%,488
DLF,Delfino Finance,$0 ,$0.74 ,$638 ,0,-4.93%,4.04%,489
STEPG,STEPG,$0 ,$0.00 ,$53 K,0,-1.30%,-10.47%,490
GVR,Grove,$0 ,7.64E-10,$5 M,0,-2.29%,8.11%,491
NUTGV2,NUTGAIN,$0 ,$0.00 ,$26 K,0,0.01%,-0.07%,492
SLEEPEE,SleepFuture,$0 ,$0.00 ,$124.4 K,0,-15.95%,-31.57%,493
MFET,MFET,$0 ,$0.00 ,$22.2 K,0,-1.22%,-1.83%,494
ADXX,AnonyDoxx,$0 ,$0.00 ,$564 ,0,-2.82%,-3.93%,495
XODEX,Xodex,$0 ,$0.00 ,$292 ,0,-2.36%,-12.72%,496
MM72,MM72,$0 ,$0.00 ,$20.5 K,0,53.21%,-1.32%,497
PESA,Pesabase,$0 ,$0.07 ,$50.7 K,0,-0.59%,-27.17%,498
PETO,Petoverse,$0 ,$0.01 ,$64.9 K,0,-3.27%,-3.67%,499
YKS,YourKiss,$0 ,7.72E-12,$6.2 K,0,0.01%,-4.92%,500
BRE,Boba Brewery,$0 ,$0.00 ,$1.1 K,0,-13.39%,8.95%,501
VTG,Victory Gem,$0 ,$0.00 ,$150.2 K,0,-12.19%,-22.59%,502
VIM,VicMove,$0 ,$0.01 ,$11.7 K,0,-6.70%,-23.22%,503
AMAZINGTEAM,AmazingTeamDAO,$0 ,$1.52 ,$2.5 K,0,0.53%,-0.90%,504
DOGBOSS,Dog Boss,$0 ,$6.80 ,$57.4 K,0,8.09%,10.05%,505
CHD,CharityDAO,$0 ,$0.06 ,$803 ,0,-0.21%,-1.43%,506
YUSE,Yuse,$0 ,$0.02 ,$46.2 K,0,-0.66%,-4.05%,507
POMO,Pomo,$0 ,$0.00 ,$10 K,0,0.01%,0.01%,508
HBG,HeroBook,$0 ,$0.04 ,$16.4 K,0,-1.66%,-0.76%,509
MCOIN,mCoin,$0 ,$0.94 ,$335.9 K,0,-4.25%,3.08%,510
VALAS,Valas Finance,$0 ,$0.00 ,$356 ,0,-2.70%,-0.89%,511
MF,MetaFighter,$0 ,$0.00 ,$20.4 K,0,-6.13%,97.91%,512
SNACK,Crypto Snack,$0 ,$0.00 ,$257 ,0,-0.57%,-2.72%,513
MEER,Qitmeer Network,$0 ,$1.88 ,$1 K,0,-0.18%,-3.11%,514
PINETWORKDEFI,Pi Network DeFi,$0 ,$0.00 ,$1.1 K,0,-2.25%,-0.49%,515
ANM,Animverse,$0 ,$0.00 ,$958 ,0,-6.57%,-8.97%,516
FIST,Fistbump,$0 ,$0.06 ,$56.7 K,0,-0.40%,-4.53%,517
CYM,Cylum Finance,$0 ,$0.00 ,$3.6 K,0,-0.79%,-16.48%,518
MMETA,Duckie Land Multi Metaverse,$0 ,$0.04 ,$355 K,0,13.12%,14.63%,519
LPY,LeisurePay,$0 ,$0.00 ,$565 ,0,-8%,-2.23%,520
JK,JK Coin,$0 ,$0.14 ,$73.1 K,0,-20.08%,-19.38%,521
CHTS,Creature Hunters,$0 ,$0.04 ,$2.2 K,0,-8.65%,-9.44%,522
BRICKS,MyBricks,$0 ,$0.00 ,$1.1 K,0,-1.86%,-11.43%,523
MHUNT,MetaShooter,$0 ,$0.01 ,$1 M,0,-1.18%,-4.48%,524
RANTS,redFireAnts,$0 ,$0.00 ,$1 K,0,0%,2758.07%,525
ELONHYPE,ElonHype,$0 ,$0.00 ,$356 ,0,-3.13%,-13.81%,526
VELON,Viking Elon,$0 ,2.00E-08,$9.3 K,0,0.06%,0.01%,527
KTE,Kyte.One,$0 ,$0.02 ,$912 ,0,-2.32%,-10.23%,528
DEFLY,Deflyball,$0 ,$0.00 ,$17.9 K,0,2.49%,-1.80%,529
GALEON,Galeon,$0 ,$0.02 ,$10.2 K,0,0.54%,-0.57%,530
BRS,Broovs Projects,$0 ,$0.00 ,$29.6 K,0,2.16%,24.06%,531
CATCOIN,CatCoin Cash,$0 ,6.00E-12,$58.1 K,0,0%,0%,532
GAMES,Gaming Stars,$0 ,$1.65 ,$594.6 K,0,-0.02%,-14.67%,533
LYO,LYO Credit,$0 ,$1.01 ,$1.8 M,0,-0.16%,2.06%,534
RIFICO,Rin Finance Coin,$0 ,6.80E-13,$6.2 K,0,-0.03%,0.09%,535
PHENIX,Phenix,$0 ,8.08E-10,$18.4 K,0,7.79%,6.91%,536
PAYGO,PayGo,$0 ,$0.00 ,$736 ,0,-22.08%,-19.11%,537
IPAY,iPay,$0 ,$0.00 ,$627 ,0,-4.54%,-5.47%,538
WAL,The Wasted Lands,$0 ,$0.02 ,$3 K,0,-0.89%,-5.79%,539
JOLT,Joltify,$0 ,$0.05 ,$6.1 K,0,3.04%,-27.80%,540
SMTF,SmartFi,$0 ,$0.59 ,$15.9 K,0,-5.92%,-13.34%,541
LGX,Legion Network,$0 ,$0.01 ,$373.6 K,0,10.54%,10.08%,542
FGD,Freedom God DAO,$0 ,$0.32 ,$16.3 K,0,-2.44%,-3.68%,543
NASSR,Alnassr FC Fan Token,$0 ,$0.00 ,$5.3 K,0,-1.98%,-10.43%,544
ZENC,Zenc Coin,$0 ,$0.01 ,$106.6 K,0,-0.26%,-13.36%,545
SINGH,Singh,$0 ,$0.04 ,$56.5 K,0,-3.31%,5.88%,546
$TIPSY,TipsyCoin,$0 ,$0.00 ,$8.1 K,0,0.44%,7.69%,547
DDDX,DDDX Protocol,$0 ,$0.00 ,$43.5 K,0,7.93%,8.77%,548
SBCC,Smart Block Chain City,$0 ,$0.12 ,$57.5 K,0,-7.69%,-60.61%,549
1AMD,Free Speech,$0 ,$0.00 ,$525 ,0,-2.46%,-9.78%,550
Y5TT,Y5 Trader,$0 ,$0.02 ,$1.3 K,0,-0.90%,-9.49%,551
SQUIDGROW,SquidGrow,$0 ,5.98E-09,$641.6 K,0,-3.71%,-8.58%,552
XPRO,XPROJECT,$0 ,3.44E-11,$512 ,0,-1.32%,-10.18%,553
LUNAT,Lunatics,$0 ,$0.00 ,$98.6 K,0,-11.42%,-11.08%,554
AITN,Artificial Intelligence Technology Network,$0 ,$0.50 ,$812 ,0,-0.63%,-7.99%,555
MDR,Mudra MDR,$0 ,$0.43 ,$175.4 K,0,-2.10%,-15.29%,556
TGR,Tegro,$0 ,$0.16 ,$14.4 K,0,0.32%,-0.01%,557
TFMC,Tap Fantasy MC,$0 ,$0.57 ,$1.6 K,0,-0.27%,-5.61%,558
YES,Yes World,$0 ,$0.01 ,$852.7 K,0,4.06%,9.42%,559
NFTN,NFTNetwork,$0 ,$0.02 ,$29.3 M,0,-0.23%,0.38%,560
CTY,CUSTODIY,$0 ,$1.36 ,$53.7 K,0,-17.06%,65.52%,561
SAUDISHIB,SAUDI SHIBA INU,$0 ,7.42E-11,$428 ,0,-2.25%,-45.51%,562
TOPG,Tate Token,$0 ,$0.00 ,$230 ,0,-3.13%,-4.36%,563
GGTKN,GGTKN,$0 ,$0.09 ,$34.9 K,0,-3.95%,-5.94%,564
KUKU,panKUKU,$0 ,$0.00 ,$7.4 K,0,0.17%,0.05%,565
CPLT,Catapult.ac,$0 ,$0.01 ,$16.6 K,0,-1.36%,-2.68%,566
TWOGE,Twoge Inu,$0 ,2.42E-10,$20.8 K,0,31.15%,18.95%,567
BLET,Blockearth,$0 ,$0.45 ,$27.4 K,0,-0.02%,-5.53%,568
IRISTOKEN,Iris Ecosystem,$0 ,$0.00 ,$7 K,0,0%,-1.67%,569
ATOZ,Race Kingdom,$0 ,$0.22 ,$1.3 M,0,-2.49%,-2.23%,570
AFREP,Afrep,$0 ,$0.02 ,$267 ,0,-4.17%,-10.86%,571
XRX,Rex,$0 ,$0.00 ,$18.6 K,0,0.70%,-8.40%,572
EGOD,egoD,$0 ,$0.00 ,$680 ,0,-3.13%,-3.32%,573
MONES,Mones,$0 ,$0.00 ,$14.9 K,0,-37.48%,-27.77%,574
WKIT,WORKIT,$0 ,$0.81 ,$81.5 K,0,-0.11%,-0.01%,575
FIDLE,Fidlecoin,$0 ,$0.01 ,$9.5 K,0,-3.13%,-7.11%,576
GCT,Green CycGo,$0 ,$0.06 ,$244 ,0,0.51%,0.25%,577
CENS,Cens World,$0 ,$0.00 ,$2.9 K,0,-10.00%,-16.67%,578
DEAR,Dragon Evolution Augmente,$0 ,$0.00 ,$9.7 K,0,-7.10%,-7.90%,579
SLG,Land Of Conquest SLG,$0 ,$0.01 ,$421.3 K,0,3.06%,7.81%,580
BEMD,Betterment Digital,$0 ,$0.00 ,$204.7 K,0,-23.50%,19.68%,581
BDY,Buddy DAO,$0 ,$0.00 ,$5.3 K,0,0%,-3.45%,582
CSTC,CryptosTribe,$0 ,$0.00 ,$10 K,0,-7.00%,-10.32%,583
AZY,Amazy,$0 ,$0.06 ,$844.4 K,0,-3.93%,116.28%,584
NLC,Nelore Coin,$0 ,$0.02 ,$20 K,0,-7.07%,-10.27%,585
MOBY,Moby Dick V2,$0 ,$0.00 ,$412 ,0,-0.61%,-2.62%,586
ALTRU,Altrucoin,$0 ,$0.35 ,$108 K,0,-3.40%,-2.80%,587
PVERSE,PornVerse,$0 ,$0.00 ,$48.2 K,0,1.68%,-18.19%,588
HOHOHO V2.0,Santa Floki v2.0,$0 ,$0.00 ,$2.5 K,0,-3.22%,-11.72%,589
AIZA,AizaWorld,$0 ,$0.02 ,$46.9 K,0,-0.33%,13.33%,590
GWSPP,GoldenWspp,$0 ,$0.01 ,$353 ,0,31.29%,50.62%,591
INDIA,India Coin,$0 ,$0.00 ,$96.1 K,0,-2.23%,8.00%,592
MFY,MetaFooty,$0 ,$0.00 ,$234 ,0,-3.13%,-3.32%,593
LKC,Lucky Coin,$0 ,4.26E-08,$244.4 K,0,0.77%,-34.14%,594
FOXV2,FoxFinanceV2,$0 ,$0.00 ,$28.5 K,0,-1.75%,-3.09%,595
BFLOKI,Burn Floki,$0 ,7.72E-11,$55 K,0,-3.01%,-3.44%,596
SPKY,SpookyShiba,$0 ,$0.00 ,$68.6 K,0,-8.89%,-22.68%,597
GAMBL,Metagamble,$0 ,3.99E-10,$344 ,0,0.50%,0%,598
LGBT,Lets Go Brandon Token,$0 ,2.41E-12,$55.2 K,0,-2.76%,-9.59%,599
MMIT,MANGOMAN INTELLIGENT,$0 ,2.32E-08,$391.1 K,0,-4.76%,-12.35%,600
BPAY,Beyondpay,$0 ,$0.00 ,$10.7 K,0,2.91%,-0.88%,601
$MUU,MUU,$0 ,$0.00 ,$1.4 K,0,-2.34%,-5.57%,602
ORYX,OryxFi,$0 ,$0.01 ,$300 ,0,-3.13%,-4.21%,603
DUT,Dar Dex,$0 ,$0.00 ,$783 ,0,-6.06%,-0.04%,604
DHLT,DeHealth,$0 ,$0.01 ,$29.6 K,0,-0.97%,-11.22%,605
BTDMD,BitDiamond,$0 ,$0.00 ,$31.1 K,0,-3.27%,-2.04%,606
FJB,Freedom. Jobs. Business.,$0 ,$0.00 ,$3.1 K,0,-5.27%,-7.75%,607
BFK,BFK Warzone,$0 ,$0.00 ,$146 K,0,2.06%,4.29%,608
KVERSE,Keeps Coin,$0 ,$0.00 ,$534 ,0,-7.89%,21.67%,609
SHWA,ShibaWallet,$0 ,$0.00 ,$568 ,0,60.67%,-49.15%,610
PRI,PRIVATEUM INITIATIVE,$0 ,$8.63 ,$1.2 M,0,22.26%,34.87%,611
CLEG,Chain of Legends,$0 ,$0.01 ,$31.6 K,0,-8.49%,-0.42%,612
KILLER,Fat Cat Killer,$0 ,$0.00 ,$115.3 K,0,-0.02%,-4.40%,613
ASSET,iAssets,$0 ,$0.00 ,$31.3 K,0,-3.30%,-6.70%,614
ANTA,Tribalpunk Cryptoverse,$0 ,$0.00 ,$439 ,0,0.37%,-4.31%,615
ISTEP,iSTEP,$0 ,$0.00 ,$29.8 K,0,27.63%,41.97%,616
USDZ,Zedxion USDZ,$0 ,$0.99 ,$5.5 K,0,-0.70%,-0.50%,617
FNF,FunFi,$0 ,2.42E-09,$159.6 K,0,-8.11%,-61.10%,618
PMR,Pomerium,$0 ,$0.00 ,$478 ,0,-3.20%,-3.40%,619
M7V2,M7V2,$0 ,$0.49 ,$236 ,0,53.50%,877.89%,620
OLOID,OLOID,$0 ,$0.00 ,$260 ,0,-2.00%,-2.18%,621
FAWA,Fantasy War,$0 ,$0.00 ,$96.2 K,0,-120.78%,18.06%,622
VIZSLASWAP,VizslaSwap,$0 ,$0.02 ,$1 K,0,-6.55%,-8.20%,623
CLCT,CollectCoin,$0 ,$0.03 ,$9.4 K,0,-6.63%,-1.84%,624
AQDC,Aquanee,$0 ,$0.01 ,$381.3 K,0,28.93%,5.13%,625
ZGD,ZambesiGold,$0 ,$0.71 ,$89.3 K,0,0.84%,-24.28%,626
USDEX,USDEX,$0 ,$1.07 ,$23.9 K,0,0.74%,1.58%,627
BEX,BelecX Protocol,$0 ,$0.00 ,$409 ,0,4.89%,-28.51%,628
99DEFI,99Defi,$0 ,$0.00 ,$9.9 K,0,0%,0.33%,629
AFP,PIGS,$0 ,$114.52 ,$212 K,0,-7.14%,-13.50%,630
FON,Force of Nature,$0 ,$0.71 ,$535 K,0,-1.46%,-8.95%,631
DEXSHARE,dexSHARE,$0 ,$40.82 ,$130.5 K,0,12.86%,44.06%,632
DODB,DODbase,$0 ,$0.00 ,$883 ,0,-6.89%,-11.99%,633
HIPPO,Hippo Inu,$0 ,$0.00 ,$1.4 K,0,-29.09%,-35.90%,634
S2K,Sports 2K75,$0 ,2.98E-08,$103.6 K,0,-7.63%,-32.26%,635
GULF,GulfCoin,$0 ,$0.04 ,$1.4 M,0,-0.15%,0.02%,636
MBP,Mobipad,$0 ,$0.00 ,$186.4 K,0,2.16%,-35.31%,637
CZBUSD,CZbusd,$0 ,$0.05 ,$308 ,0,4.25%,-52.07%,638
TBAC,BlockAura,$0 ,$1.96 ,$359 ,0,-1.55%,-25.30%,639
IONZ,Meta Nebulas IONZ,$0 ,$0.04 ,$1.7 K,0,-2.36%,-11.11%,640
LUCK,Luck2Earn,$0 ,$0.00 ,$16.3 K,0,-7.59%,7.15%,641
ACCG,Australian Crypto Coin Green,$0 ,$0.00 ,$4.2 K,0,1.00%,-22.66%,642
KUY,KUY,$0 ,$0.03 ,$224 ,0,0%,-0.39%,643
ACEC,Ace Cash,$0 ,$0.35 ,$1.3 K,0,0.81%,-17.21%,644
DEBT,The Debt Box,$0 ,$11.42 ,$1.8 M,0,3.70%,8.64%,645
EZI,Ezillion,$0 ,1.98E-10,$5.8 K,0,-0.07%,-0.07%,646
REV3L,REV3AL,$0 ,$0.01 ,$91 K,0,-5.18%,-6.64%,647
CMQ,Communique,$0 ,$0.02 ,$674 K,0,0.24%,-1.69%,648
7PXS,7Pixels,$0 ,$3.96 ,$32.5 K,0,-0.73%,4.57%,649
METAVIE,Metavie,$0 ,$0.20 ,$54.3 K,0,-1.90%,-17.19%,650
MERCE,MetaMerce,$0 ,$0.00 ,$167 K,0,-1.18%,-13.71%,651
OLAND,OceanLand,$0 ,$0.01 ,$258.3 K,0,3.09%,-29.30%,652
LITE,LiteUSD,$0 ,$16.53 ,$107.8 K,0,-6.43%,19.12%,653
CZBNB,CZbnb,$0 ,$9.53 ,$386 ,0,0.91%,-62.17%,654
ZPRO,ZAT Project,$0 ,$0.00 ,$308 ,0,-121.29%,-10.16%,655
JW,Jasan Wellness,$0 ,$29.61 ,$483.9 K,0,0.09%,20.75%,656
LAEEB,LaEeb,$0 ,7.60E-10,$1.9 K,0,-10.51%,-61.69%,657
TGDAO,TG DAO,$0 ,$0.00 ,$3.3 K,0,-0.78%,-4.64%,658
CATZ,CatzCoin,$0 ,$0.00 ,$1.2 K,0,-2.35%,-4.91%,659
EVAPE,EveryApe BSC,$0 ,1.26E-10,$674 ,0,-3.13%,-4.86%,660
MANY,Many Worlds,$0 ,$0.00 ,$2.4 K,0,-3.13%,-8.76%,661
HEROES,Dehero Community Token,$0 ,$0.03 ,$110.1 K,0,0.57%,-1.33%,662
BSTS,Magic Beasties,$0 ,$0.00 ,$330 ,0,-4.81%,-6.80%,663
GINOA,Ginoa,$0 ,$0.76 ,$140.4 K,0,-1.29%,-5.98%,664
Y-5,Y-5 FINANCE,$0 ,$0.00 ,$1.5 K,0,-0.83%,2641507141.11%,665
RITE,ritestream,$0 ,$0.00 ,$314.2 K,0,-0.20%,0.48%,666
CRUX,CryptoMines Reborn,$0 ,$0.09 ,$5.2 K,0,-1.83%,4.11%,667
ESHARE,EMP Shares,$0 ,$132.70 ,$51.9 K,0,-3.58%,-4.26%,668
VPK,Vulture Peak,$0 ,$0.03 ,$6.3 K,0,-0.38%,-2.21%,669
IRENA,IRENA Green Energy,$0 ,$0.00 ,$24.7 K,0,2.71%,1.94%,670
BABYSHIB,BabyShibby Inu,$0 ,$0.00 ,$96.7 K,0,-0.85%,-0.81%,671
STATIC,ChargeDeFi Static,$0 ,$0.13 ,$1.7 K,0,-0.02%,-2.25%,672
MONX,Monster of God,$0 ,$0.00 ,$747 ,0,-9.37%,-8.65%,673
MHT,Mouse Haunt,$0 ,$0.04 ,$18 K,0,-2.16%,-6.65%,674
GOIN,GOIN,$0 ,$0.00 ,$931 ,0,-3.30%,-3.76%,675
ECIO,ECIO Space,$0 ,$0.00 ,$17.2 K,0,0.43%,2.52%,676
PAPR,Paprprintr Finance,$0 ,$0.01 ,$468 ,0,0%,-30.80%,677
HVI,Hungarian Vizsla Inu,$0 ,7.09E-14,$33.2 K,0,0%,0%,678
CANDYLAD,Candylad,$0 ,4.18E-18,$7.1 K,0,17.31%,35.20%,679
RUSD,rUSD,$0 ,$0.25 ,$6.8 K,0,6.78%,5.39%,680
SMOON,SaylorMoon,$0 ,2.24E-10,$52 K,0,4.02%,-5.80%,681
HGHG,HUGHUG,$0 ,$0.01 ,$76 K,0,1.16%,-7.21%,682
MVRS,Meta MVRS,$0 ,8.17E-08,$65.3 K,0,-5.89%,-11.92%,683
FHTN,Fishing Town,$0 ,$0.00 ,$17.8 K,0,-3.65%,-0.21%,684
CRYSTAL,Cyber Crystal,$0 ,$0.26 ,$35.6 K,0,18.44%,57.31%,685
RGEN,Paragen,$0 ,$0.00 ,$8.9 K,0,0.90%,-11.48%,686
MESA,myMessage,$0 ,3.48E-08,$19.8 K,0,-4.71%,-7.21%,687
FRZSS,Frz Solar System,$0 ,2.32E-08,$368.3 K,0,-2.38%,1.49%,688
MOOLAH,Block Creatures,$0 ,$0.03 ,$68.6 K,0,-1.16%,-1.97%,689
SEA,StarSharks SEA,$0 ,$0.01 ,$674 ,0,-2.74%,-9.55%,690
STI,Seek Tiger,$0 ,$0.00 ,$819 ,0,-1.17%,-3.38%,691
KBD,Kyberdyne,$0 ,$0.00 ,$76.1 K,0,-2.03%,14.45%,692
EIFI,EIFI Finance,$0 ,$0.01 ,$828 ,0,-0.07%,-3.31%,693
CBET,CBET Token,$0 ,8.40E-08,$209 ,0,-3.13%,-3.81%,694
SMCW,Space Misfits,$0 ,$0.02 ,$69.3 K,0,-0.56%,1.04%,695
DFC,DefiConnect,$0 ,1.36E-10,$214 ,0,-11.21%,-18.04%,696
FWC,Qatar 2022,$0 ,1.15E-10,$457.2 K,0,-1.04%,-27.49%,697
EPW,Evoverse Power,$0 ,$0.00 ,$689 ,0,-2.29%,-11.12%,698
SYA,SYA x Flooz,$0 ,1.04E-08,$747 ,0,-3.14%,-4.03%,699
SPACEPI,SpacePi,$0 ,1.13E-09,$10.6 K,0,-4.74%,-5.89%,700
MATICPAD,Matic Launchpad,$0 ,$0.00 ,$561 ,0,-1.93%,-22.29%,701
SCK,Space Corsair Key,$0 ,$0.02 ,$2.6 K,0,10.36%,-3.98%,702
SUI,Salmonation,$0 ,$0.01 ,$2.9 K,0,0.62%,2.20%,703
WZRD,Wizardia,$0 ,$0.00 ,$419.8 K,0,-6.86%,-6.47%,704
SDLN,Seedling,$0 ,$0.02 ,$287 ,0,-2.49%,-0.31%,705
ATPAD,AtomPad,$0 ,$0.01 ,$454 ,0,-2.43%,-14.94%,706
ADR,Adroverse,$0 ,$0.00 ,$37.4 K,0,-0.07%,-1.73%,707
WEAR,MetaWear,$0 ,$0.00 ,$82.2 K,0,2.96%,-1.00%,708
KANG3N,kang3n,$0 ,$0.02 ,$15.3 K,0,-3.13%,-3.32%,709
GRIMACE,Grimace Coin,$0 ,$0.53 ,$1.9 K,0,-6.28%,-19.52%,710
EARN,EarnGuild,$0 ,$0.01 ,$3 K,0,-2.27%,-11.12%,711
BLUC,Bluca,$0 ,$0.00 ,$209 ,0,-2.25%,-7.04%,712
$CINU,CHEEMS INU,$0 ,4.87E-16,$9.5 K,0,-8.57%,-17.59%,713
METAQ,MetaQ,$0 ,$0.09 ,$1.8 K,0,0%,-10.78%,714
HDV,Hydraverse,$0 ,$0.00 ,$122.2 K,0,4.06%,3.64%,715
SQUID,Squid Game,$0 ,$0.01 ,$193.7 K,0,-1.16%,-4.89%,716
NBL,Nobility,$0 ,$0.00 ,$240 ,0,-3.25%,-5.15%,717
FALCONS,Falcon Swaps,$0 ,$0.00 ,$136.4 K,0,-3.31%,-6.53%,718
EVERSAFU,EverSAFU,$0 ,$0.00 ,$792 ,0,-1.83%,-18.23%,719
STRIP,Stripto,$0 ,$0.00 ,$29.9 K,0,-1.58%,-1.82%,720
LSWAP,LoopSwap,$0 ,$0.00 ,$2.3 K,0,-6.50%,-1.04%,721
GMS,GameStar,$0 ,$0.00 ,$641 ,0,-6.36%,-5.95%,722
QDROP,QuizDrop,$0 ,$0.03 ,$424 ,0,-3.15%,-19.40%,723
HP,HeroPark,$0 ,$0.00 ,$1.1 K,0,-5.14%,-13.08%,724
GAFA,Gafa,$0 ,$0.00 ,$17.3 K,0,-2.43%,-0.77%,725
MATA,Mata,$0 ,$0.00 ,$601 ,0,-0.82%,-8.98%,726
SAFUU,SAFUU,$0 ,$0.41 ,$177.9 K,0,0.52%,-11.10%,727
BIRB,Birb,$0 ,$0.01 ,$9.6 K,0,-2.22%,-4.93%,728
MINIFOOTBALL,Minifootball,$0 ,4.67E-11,$9.8 K,0,1.82%,-6.30%,729
KFS G,Kindness For Soul,$0 ,$32.49 ,$3.1 K,0,3.17%,24.24%,730
DXB,DXBPay,$0 ,3.63E-09,$14.7 K,0,-3.07%,0.38%,731
CBD,Greenheart CBD,$0 ,$0.01 ,$46.6 K,0,-8.48%,-25.21%,732
BPAD,BlokPad,$0 ,$0.00 ,$13.7 K,0,0.48%,-4.29%,733
CTN,Continuum Finance,$0 ,$0.47 ,$4.2 K,0,-1.86%,10.18%,734
NVM,Novem Pro,$0 ,$0.21 ,$4.5 K,0,-25.70%,-12.01%,735
1TRC,1TRONIC,$0 ,$0.09 ,$1.9 K,0,0%,0%,736
MILE,milestoneBased,$0 ,$0.46 ,$9 K,0,4.32%,2.86%,737
UMW,UMetaWorld,$0 ,$0.02 ,$706 ,0,-0.58%,-2.30%,738
MTK,Metakings,$0 ,$0.00 ,$292 ,0,-2.46%,-7.83%,739
LUCA,LUCA,$0 ,$1.28 ,$142.4 K,0,-1.30%,-3.90%,740
SEACHAIN,SeaChain,$0 ,$0.00 ,$524 ,0,-3.13%,-21.26%,741
GYMNET,Gym Network,$0 ,$0.03 ,$102 K,0,0.02%,12.27%,742
WSYS,Wrapped Syscoin,$0 ,$0.12 ,$618 ,0,-1.36%,-1.83%,743
STUD,Studyum,$0 ,$0.00 ,$5.6 K,0,0.19%,-1.77%,744
FROSTYFLOKI,Frosty Floki V2,$0 ,1.51E-08,$1.5 K,0,-3.13%,-3.32%,745
SPRITZMOON,SpritzMoon Crypto,$0 ,$0.00 ,$1.1 K,0,-0.10%,-29.68%,746
EXMOC,EXMOC,$0 ,$0.00 ,$547 ,0,-3.13%,-18.27%,747
MITA,Legends of Mitra,$0 ,$0.01 ,$8.4 K,0,0.90%,0.41%,748
SUPS,Supremacy,$0 ,$0.00 ,$1.1 K,0,-37.58%,-61.39%,749
MLOKY,MLOKY,$0 ,$0.00 ,$52.2 K,0,-17.40%,4.54%,750
VS,Vision Metaverse,$0 ,$0.95 ,$18.6 K,0,0.41%,-4.91%,751
DIFX,Digital Financial Exchange,$0 ,$0.26 ,$38.4 K,0,-1.96%,-0.02%,752
PWG,PW-GOLD,$0 ,$0.05 ,$471 ,0,0%,-0.55%,753
RVLNG,RevolutionGames,$0 ,$0.00 ,$117.5 K,0,-2.63%,2.36%,754
WTWOOL,Wolf Town Wool,$0 ,$0.00 ,$1.7 K,0,-3.59%,-5.06%,755
HORGI,Horgi,$0 ,$0.00 ,$1 K,0,-1.45%,-9.48%,756
VENTION,Vention,$0 ,$0.00 ,$299.2 K,0,-27.61%,39.36%,757
MSG,MsgSender,$0 ,$0.06 ,$374 ,0,-3.65%,2.01%,758
MSC,MetaSwap,$0 ,$7.12 ,$28.3 K,0,0.23%,-2.63%,759
CHARGE,ChargeDeFi Charge,$0 ,$0.96 ,$799 ,0,-2.20%,-9.34%,760
