serial,token_name,token,price_usd,price_24h,reward_pct,adjst_reward_pct,staking_marketcap,market_cap,staking_ratio
142,Aptos,APT,4.4300,-8.09%,0.0000,0.0000,unknown,576252280,N/A
143,Neo,NEO,7.6800,0.39%,0.0311,0.0311,unknown,543156742,N/A
144,MakerDAO,MKR,590.3600,-3.67%,0.0000,-27354606.0867,unknown,532598648,N/A
145,Ethereum PoW,ETHW,3.5000,-5.15%,0.0354,0.0354,unknown,376283774,N/A
146,Nexo,NEXO,0.6600,-3.08%,0.0489,0.0489,unknown,370294471,N/A
147,Basic Attention Token,BAT,0.2200,-4.76%,0.0092,0.0092,unknown,325961356,N/A
148,Gnosis,GNO,87.9200,-2.73%,0.0000,0.0000,unknown,227772831,N/A
149,Moonbeam,GLMR,0.3900,-5.71%,0.0000,0.0000,unknown,186799366,N/A
150,OmiseGo,OMG,1.1400,-5.79%,0.0116,0.0116,unknown,159227015,N/A
150,Euro Tether,EURT,1.0500,0.48%,N/A,0.0000,unknown,216749176,N/A
151,Acala,ACA,0.1200,-4.22%,N/A,0.0000,unknown,68391578,N/A
152,Stargate Finance,STG,0.3900,-5.11%,N/A,0.0000,unknown,53674440,N/A
153,Aurora,AURORA,0.3500,-1.93%,0.0000,0.0000,unknown,39044477,N/A
154,Ref Finance,REF,0.1100,-4.75%,0.0000,0.0000,unknown,2435585,N/A
155,NearPad,PAD,0.0200,-3.01%,0.0000,0.0000,unknown,185884,N/A
156,Meta Pool,META,0.0000,-4.37%,0.0000,0.0000,unknown,0,N/A
174,Dai,DAI,1.0000,0%,0.0507,0.0507,771999213,5169188782,N/A
175,USDN,USDN,0.7900,-6%,0.0250,0.0210,316499,78439752,0.9666
176,USD Coin,USDC,1.0000,-0.14%,0.0556,0.0556,1930425196,42867152377,N/A
178,Tether,USDT,1.0000,0.23%,0.0677,0.0677,756284915,65819318374,N/A
179,TrueUSD,TUSD,1.0000,-0.07%,0.0447,0.0447,145789325,756386656,N/A
180,sUSD,SUSD,1.0100,0.70%,0.0067,0.0067,29012046,40784950,N/A
182,Binance USD,BUSD,1.0000,0%,0.0475,0.0475,51999136,22113974415,N/A
184,Gemini Dollar,GUSD,1.0000,-0.30%,0.0000,0.0000,unknown,593315098,N/A
191,TerraClassicUSD,USTC,0.0300,6.66%,0.1626,0.1626,14214834,249033236,N/A
