"link_link__eO8iL","link_link__eO8iL href","icon_image-icon__8UXqV src","brandGroup_name__DNvcT","brandGroup_ticker__DDHxA","price","row-24-price-change","rt-td","link_link__eO8iL 2","link_link__eO8iL 3","link_link__eO8iL 4","link_link__eO8iL 5"
"68","https://www.stakingrewards.com/earn/akash/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Akash","AKT","$0.21","-4.02%","12.69%","2.53%","$32,873,594","$42,121,083","74.36%"
"69","https://www.stakingrewards.com/earn/syscoin/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","SysCoin","SYS","$0.12","0.26%","5.93%","-65.7%","$30,100,045","$80,696,966","35.22%"
"70","https://www.stakingrewards.com/earn/canto/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Canto","CANTO","$0.15","-0.59%","26.15%","-29.15%","$29,349,939","$53,350,135","19.25%"
"71","https://www.stakingrewards.com/earn/stratis/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Stratis","STRAX","$0.48","1.13%","18.65%","9.08%","$28,969,380","$68,847,041","42.12%"
"72","https://www.stakingrewards.com/earn/tezos/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Tezos","XTZ","$0.99","-1.85%","5.16%","4.98%","$28,390,235","$901,897,152","3.05%"
"73","https://www.stakingrewards.com/earn/coti/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","COTI","COTI","$0.07","-0.97%","48.29%","25%","$26,525,684","$78,680,475","0.35%"
"74","https://www.stakingrewards.com/earn/kyber-network/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Kyber Network","KNC","$0.63","-1.23%","2.46%","2.46%","$26,006,172","$103,319,532","25.12%"
"75","https://www.stakingrewards.com/earn/orbs/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Orbs","ORBS","$0.03","2.5%","6.67%","6.63%","$24,252,324","$74,598,771","32.23%"
"76","https://www.stakingrewards.com/earn/regen/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Regen Network","REGEN","$0.19","-1.1%","26.16%","4.33%","$21,166,633","$27,978,467","75.63%"
"77","https://www.stakingrewards.com/earn/celo/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Celo","CELO","$0.59","-1.35%","4.42%","4.16%","$18,170,118","$284,925,376","5.66%"
"78","https://www.stakingrewards.com/earn/hydra/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Hydra","HYDRA","$1.44","-5.26%","47.71%","22.13%","$17,781,661","$21,836,718","43.91%"
"79","https://www.stakingrewards.com/earn/umee/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Umee","UMEE","$0.01","3.79%","29.35%","-32.17%","$27,502,036","$15,030,080","183.46%"
"100","https://www.stakingrewards.com/earn/polkadex/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2022%2F01%2Fpolkadex-e1642444217899.jpeg&w=64&q=75","Polkadex","PDEX","$1.65","1.85%","26.49%","20.13%","$5,942,185","$12,342,678","18.63%"
"101","https://www.stakingrewards.com/earn/kardiachain/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2021%2F03%2FKardiaChain-e1616407529468.jpg&w=64&q=75","KardiaChain","KAI","$0.01","-2.17%","8.38%","8.36%","$5,601,493","$24,308,406","22.37%"
"102","https://www.stakingrewards.com/earn/peercoin/","https://cms.stakingrewards.com/wp-content/uploads/2019/05/ppc.svg","PeerCoin","PPC","$0.37","2.01%","3.25%","1.48%","$5,550,631","$10,336,311","53.7%"
"103","https://www.stakingrewards.com/earn/wanchain/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2019%2F08%2FWanchainStackedLogoIcon-scaled.png&w=64&q=75","Wanchain","WAN","$0.17","-2.94%","7.56%","6.19%","$4,907,808","$34,138,570","14.42%"
"104","https://www.stakingrewards.com/earn/yearn-finance/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2020%2F08%2Fyearn-finance-e1596276328244.jpg&w=64&q=75","yearn.finance","YFI","$6,932.42","-1.44%","50.61%","50.61%","$4,633,953","$216,061,186","1.83%"
"105","https://www.stakingrewards.com/earn/harvest-finance/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2021%2F12%2FHarvest-finance-e1638457592853.jpg&w=64&q=75","Harvest Finance","FARM","$35.42","-1.47%","1.1%","2.27%","$3,409,854","$23,697,992","14.4%"
"106","https://www.stakingrewards.com/earn/sentinel/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Sentinel","DVPN","$0","-1.92%","43.53%","13.88%","$3,241,801","$3,569,732","63.51%"
"107","https://www.stakingrewards.com/earn/ambrosus/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Ambrosus","AMB","$0.01","-0.22%","0%","-6.46%","$3,136,192","$14,543,006","21.53%"
"108","https://www.stakingrewards.com/earn/mirror-protocol/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Mirror Protocol","MIR","$0.13","-1.16%","0%","0%","$2,752,106","$20,429,178","11.4%"
"109","https://www.stakingrewards.com/earn/anchor-protocol/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Anchor Protocol","ANC","$0.05","-2.73%","0.9%","0.77%","$2,650,922","$18,083,361","14.63%"
"110","https://www.stakingrewards.com/earn/reddcoin/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Reddcoin","RDD","$0","9.58%","18.86%","13.2%","$2,617,600","$9,895,736","26.52%"
"111","https://www.stakingrewards.com/earn/e-money/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","e-Money","NGM","$0.06","-4.94%","25.08%","13.71%","$2,605,150","$4,186,686","37.22%"
"112","https://www.stakingrewards.com/earn/dusk-network/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Dusk Network","DUSK","$0.09","-1.68%","12%","-97.08%","$2,514,030","$38,036,898","6.6%"
"113","https://www.stakingrewards.com/earn/dock/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Dock","DOCK","$0.02","-0.37%","11.47%","9.17%","$2,460,338","$70,448,413","16.64%"
"114","https://www.stakingrewards.com/earn/desmos/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Desmos","DSM","$0.03","-2.54%","18.3%","4.24%","$2,322,419","$4,022,918","57.68%"
"115","https://www.stakingrewards.com/earn/v-systems/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","V Systems","VSYS","$0","-0.54%","0.11%","-4.22%","$2,167,414","$2,864,449","32.74%"
"116","https://www.stakingrewards.com/earn/origin-protocol/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Origin Protocol","OGN","$0.1","0.65%","25%","24.38%","$2,100,202","$52,282,801","4.02%"
"117","https://www.stakingrewards.com/earn/spool-dao/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Spool DAO","SPOOL","$0.14","0.3%","17.03%","2.97%","$1,959,789","$2,448,282","6.8%"
"118","https://www.stakingrewards.com/earn/shapeshift-fox/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","ShapeShift FOX Token","FOX","$0.03","-0.56%","4.36%","3.87%","$1,854,427","$13,195,915","10.83%"
"119","https://www.stakingrewards.com/earn/validity/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Validity","VAL","$1.35","0.75%","23.59%","17.7%","$1,363,658","$6,408,771","21.21%"
"120","https://www.stakingrewards.com/earn/stake-dao/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2021%2F01%2Fstake-dao-e1611235397702.jpg&w=64&q=75","Stake DAO","SDT","$0.32","3.58%","-0%","-0%","$1,201,403","$13,316,110","9.03%"
"121","https://www.stakingrewards.com/earn/sifchain/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2021%2F10%2Fsif-logo-e1635522917435.jpg&w=64&q=75","Sifchain","ROWAN","$0","-3.56%","16.24%","-15.84%","$975,940","$2,178,645","36.21%"
"122","https://www.stakingrewards.com/earn/insurace/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2021%2F09%2FScreenshot-2021-09-02-at-13.25.01.jpg&w=64&q=75","InsurAce","INSUR","$0.08","1.3%","4.03%","-33.32%","$955,897","$4,786,214","19.99%"
"123","https://www.stakingrewards.com/earn/changex/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2022%2F09%2Fphoto_2022-11-14-19.52.14.jpeg&w=64&q=75","ChangeX","CHANGE","$0.01","-8.31%","54.47%","0%","$861,415","$1,304,482","65.2%"
"124","https://www.stakingrewards.com/earn/edgeware/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2020%2F11%2FEdgeware-e1606244985762.jpg&w=64&q=75","Edgeware","EDG","$0","-1.46%","19.37%","14.02%","$734,933","$3,294,832","21.45%"
"125","https://www.stakingrewards.com/earn/nxt/","https://cms.stakingrewards.com/wp-content/uploads/2019/05/nxt.svg","NXT","NXT","$0","0.89%","1.49%","1.49%","$442,455","$2,737,099","8.68%"
"126","https://www.stakingrewards.com/earn/akropolis/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Akropolis","AKRO","$0","1.65%","12.99%","11.83%","$1,201,998","$299,803","8.03%"
"127","https://www.stakingrewards.com/earn/mantra-dao/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","MANTRA","OM","$0.03","3.87%","17.27%","17.12%","$258,745","$19,619,901","3.38%"
"128","https://www.stakingrewards.com/earn/terra/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Terra Classic","LUNC","$0","1.33%","37.8%","-99.97%","$110,894","$10,453,001","1.06%"
"129","https://www.stakingrewards.com/earn/voltage-finance/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Voltage Finance","VOLT","$0","3.2%","6.05%","-9.12%","$97,683","$272,692","5.89%"
"130","https://www.stakingrewards.com/earn/xdai/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","xDai","STAKE","$0.66","-11.93%","7.93%","7.72%","$76,737","$1,227,282","1.37%"
